Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3124.84,3121.93,0.02,0.11
3124.85,3121.94,0.02,0.11
3124.86,3121.95,0.02,0.11
3124.87,3121.96,0.02,0.11
3124.88,3121.97,0.02,0.11
3124.89,3121.98,0.02,0.11
3124.9,3121.99,0.02,0.11
3124.91,3122,0.02,0.11
3124.92,3122.01,0.02,0.11
3124.93,3122.02,0.02,0.11
3124.94,3122.03,0.02,0.11
3124.95,3122.04,0.02,0.11
3124.96,3122.05,0.02,0.11
3124.97,3122.06,0.02,0.11
3124.98,3122.07,0.02,0.11
3124.99,3122.08,0.02,0.11
3125,3122.09,0.02,0.11
3125.01,3122.1,0.02,0.11
3125.02,3122.11,0.02,0.11
3125.03,3122.12,0.02,0.11
3125.04,3122.13,0.02,0.11
3125.05,3122.14,0.02,0.11
3125.06,3122.15,0.02,0.11
3125.07,3122.16,0.02,0.11
3125.08,3122.17,0.02,0.11
3125.09,3122.18,0.02,0.11
3125.1,3122.19,0.02,0.11
3125.11,3122.2,0.02,0.11
3125.12,3122.21,0.02,0.11
3125.13,3122.22,0.02,0.11
3125.14,3122.23,0.02,0.11
3125.15,3122.24,0.02,0.11
3125.16,3122.25,0.02,0.11
3125.17,3122.26,0.02,0.11
3125.18,3122.27,0.02,0.11
3125.19,3122.28,0.02,0.11
3125.2,3122.29,0.02,0.11
3125.21,3122.3,0.02,0.11
3125.22,3122.31,0.02,0.11
3125.23,3122.32,0.02,0.11
3125.24,3122.33,0.02,0.11
3125.25,3122.34,0.02,0.11
3125.26,3122.35,0.02,0.11
3125.27,3122.36,0.02,0.11
3125.28,3122.37,0.02,0.11
3125.29,3122.38,0.02,0.12
3125.3,3122.39,0.02,0.12
3125.31,3122.4,0.02,0.12
3125.32,3122.41,0.02,0.12
3125.33,3122.42,0.02,0.12
3125.34,3122.43,0.02,0.12
3125.35,3122.44,0.02,0.12
3125.36,3122.45,0.02,0.12
3125.37,3122.46,0.02,0.12
3125.38,3122.47,0.02,0.12
3125.39,3122.48,0.02,0.12
3125.4,3122.49,0.02,0.12
3125.41,3122.5,0.02,0.12
